"","group","name1","name2","C.ij.ruzicka","E.ij.ruzicka","ST.ij.ruzicka","NST.ij.ruzicka","MST.ij.ruzicka"
"2139","P","P39","P24",0.1361436,0.251446465,0.866525425985152,0.570752250659593,0.469172994677623
"2140","P","P40","P24",0.13182,0.2593108596,0.853151581930015,0.521496810488535,0.433697384303509
"2141","P","P41","P24",0.1796746,0.2949624508,0.859460830055975,0.544733569666479,0.523535387087906
"2142","P","P42","P24",0.1910732,0.3060513834,0.857863303082553,0.538849928887013,0.535578975862108
"2143","P","P43","P24",0.1606053,0.2981517786,0.836136112605905,0.458829380853433,0.450401107236276
"2144","P","P44","P24",0.148154,0.2963086476,0.82607813196282,0.421786159640094,0.413038163260206
"2145","P","P45","P24",0.1971917,0.3053803645,0.865237237208434,0.566007892570845,0.55870521337476
"2146","P","P46","P24",0.1572577,0.2859735977,0.847265412333047,0.49981823600951,0.46591367561428
"2147","P","P47","P24",0.166813,0.2910124461,0.850934488776229,0.513331327270717,0.48776929227093
"2148","P","P48","P24",0.1354375,0.2688156901,0.845727532595966,0.494154274094914,0.426103188594966
"2149","P","P49","P24",0.1208712,0.2900508827,0.807559844814548,0.35358389999495,0.336529668884018
"2150","P","P50","P24",0.1466484,0.2749077625,0.849699276945165,0.508782081579447,0.453268537461416
"2151","P","P51","P24",0.1568521,0.2879882263,0.84446841853013,0.489516997236993,0.459937708328911
"2152","P","P52","P24",0.1494439,0.2614560096,0.868307205603487,0.577314488040788,0.496309935281315
"2153","P","P53","P24",0.126474,0.2913151326,0.811292242474752,0.367330201274434,0.352221232584029
"2154","P","P54","P24",0.1130306,0.2749347757,0.817463628733979,0.390059219603841,0.336073907706754
"2155","P","P55","P24",0.1714891,0.3037444353,0.840369830620213,0.474422028972786,0.474458950261509
"2156","P","P56","P24",0.1504132,0.2693299082,0.860029948440818,0.546829614486452,0.480302605475059
"2157","P","P26","P25",0.1019419,0.2109370436,0.878632414094367,0.615341900875833,0.424626495971078
"2158","P","P27","P25",0.13477,0.2129750022,0.909613626203437,0.729444714784373,0.57560101954274
"2159","P","P28","P25",0.1478319,0.2007597346,0.937890382660416,0.833587104971979,0.690627119709375
"2160","P","P29","P25",0.0910371,0.2075157366,0.871855455706718,0.590382579754069,0.382482763028768
"2161","P","P30","P25",0.0998216,0.1997254212,0.889017753369776,0.653590773468271,0.444325885190705
"2162","P","P31","P25",0.0431591,0.209103106,0.826570952391354,0.423601201525782,0.170605109956395
"2163","P","P32","P25",0.0285921,0.2130985623,0.81006283529298,0.362802333920967,0.108688661917737
"2164","P","P33","P25",0.0550239,0.1982560972,0.848427703938756,0.504098918841634,0.235472208916033
"2165","P","P34","P25",0.040888,0.2134509057,0.820080547735822,0.399697248639949,0.157092111302399
"2166","P","P35","P25",0.0459851999999999,0.2093235982,0.828788402234431,0.43176799841886,0.182072163684174
"2167","P","P36","P25",0.0369109,0.2037683139,0.826747687311589,0.424252110587822,0.149758324184618
"2168","P","P37","P25",0.0500323,0.2055691305,0.836271453755744,0.459327837982219,0.203535346741876
"2169","P","P38","P25",0.0531018,0.1937959781,0.851415729695124,0.515103722192535,0.233295387439852
"2170","P","P39","P25",0.032568,0.2134138492,0.813066087125503,0.373863214423655,0.124077872287884
"2171","P","P40","P25",0.0327243,0.2124696454,0.814173616270935,0.377942208865014,0.125397967416832
"2172","P","P41","P25",0.055013,0.2059223782,0.840305339438532,0.474184510012064,0.224490985596688
"2173","P","P42","P25",0.0546868,0.2004745667,0.845778344468267,0.494341412596439,0.230717102571332
