site1,site2,comm_sim,site_dis,group
T29,T06,0.181425444,966407.6266,T
T29,T07,0.197259364,964003.5776,T
T29,T08,0.218684025,882189.6471,T
T29,T09,0.1943858,770240.2211,T
T29,T10,0.213347408,864528.4017,T
T29,T11,0.201638127,934832.5261,T
T29,T12,0.170302604,1149575.791,T
T29,T13,0.167722261,1132154.638,T
T29,T15,0.133102666,1396412.682,T
T29,T18,0.159727109,1995289.443,T
T29,T19,0.158808351,2202058.464,T
T29,T20,0.180252561,2331327.099,T
T29,T21,0.19268512,2396037.741,T
T29,T22,0.393932286,354506.3798,T
T29,T23,0.285557901,356901.0648,T
T29,T24,0.320353429,470349.4446,T
T29,T25,0.182305106,509957.0456,T
T29,T26,0.146532176,399936.703,T
T29,T27,0.224137931,452534.1858,T
T29,T28,0.344280241,153958.9673,T
T30,T01,0.266967707,1334692.453,T
T30,T02,0.324360779,1378452.415,T
T30,T04,0.232406756,1357921.38,T
T30,T05,0.258288373,1345222.55,T
T30,T06,0.299808429,1211202.798,T
T30,T07,0.292771131,1239398.231,T
T30,T08,0.223707874,1154616.967,T
T30,T09,0.327703495,1066806.426,T
T30,T10,0.316209242,1184066.831,T
T30,T11,0.309347877,1237496.327,T
T30,T12,0.305320979,1461524.951,T
T30,T13,0.304030808,1462829.363,T
T30,T15,0.163460787,1706585.258,T
T30,T18,0.136797248,2314742.057,T
T30,T19,0.25089921,2514773.088,T
T30,T20,0.283720385,2650963.997,T
T30,T21,0.270095394,2708119.697,T
T30,T22,0.196516538,300025.319,T
T30,T23,0.278970209,149494.5439,T
T30,T24,0.211568535,141221.7348,T
T30,T25,0.139143014,168618.9,T
T30,T26,0.263370866,158268.8986,T
T30,T27,0.169227461,310127.6731,T
T30,T28,0.244252874,459588.986,T
T30,T29,0.179294706,346210.3861,T
T31,T01,0.200250215,490820.0951,T
T31,T02,0.394968332,572486.7784,T
T31,T04,0.142739855,607280.996,T
T31,T05,0.15441004,622332.3671,T
T31,T06,0.263449058,509658.3387,T
T31,T07,0.267690984,630199.0494,T
T31,T08,0.335385878,569013.1638,T
T31,T09,0.338865431,622633.8386,T
T31,T10,0.33286418,797417.2591,T
T31,T11,0.321565408,741870.0709,T
T31,T12,0.220267417,944057.4113,T
T31,T13,0.23236766,1062173.745,T
T31,T15,0.092129955,1132354.541,T
T31,T18,0.095550864,1723704.478,T
T31,T19,0.14258347,1876785.165,T
T31,T20,0.341191649,2040153.377,T
T31,T21,0.154566424,2057340.192,T
T31,T22,0.166080225,612271.5469,T
T31,T23,0.228497146,772283.0659,T
T31,T24,0.168914692,908856.5951,T
T31,T25,0.09940183,1037310.337,T
T31,T26,0.172433341,1060666.397,T
T31,T27,0.119985925,1186773.463,T
T31,T28,0.225389006,682133.36,T
T31,T29,0.172726562,805904.1275,T
T31,T30,0.231644382,910943.0468,T
T32,T01,0.124912034,386544.1925,T
T32,T02,0.267202283,465226.9601,T
T32,T04,0.096371882,499484.8604,T
T32,T05,0.102588162,515456.3398,T
T32,T06,0.166217062,406378.7587,T
T32,T07,0.171455939,532880.9553,T
T32,T08,0.310638048,477591.4274,T
T32,T09,0.20470717,548801.0432,T
T32,T10,0.208655876,720209.2601,T
T32,T11,0.199644226,653545.1587,T
T32,T12,0.130580968,847465.1951,T
T32,T13,0.135526624,974068.0123,T
T32,T15,0.070783486,1029054.598,T
T32,T18,0.081984518,1617154.013,T
T32,T19,0.097036516,1768987.557,T
T32,T20,0.250312769,1932677.042,T
T32,T21,0.111267496,1949346.446,T
T32,T22,0.169794355,688570.9346,T
T32,T23,0.195245914,849758.9077,T
T32,T24,0.170458988,992002.8331,T
T32,T25,0.086597858,1117386.546,T
T32,T26,0.115235749,1127921.322,T
T32,T27,0.103663304,1246472.645,T
T32,T28,0.211060286,708739.8518,T
T32,T29,0.198588631,843824.8135,T
T32,T30,0.146317148,982876.2819,T
T32,T31,0.428649621,108039.209,T
T33,T01,0.123133161,436992.26,T
T33,T02,0.267397764,506443.0894,T
T33,T04,0.09238408,527945.272,T
T33,T05,0.102216749,538076.7394,T
T33,T06,0.160528579,418423.3815,T
T33,T07,0.169716162,532372.7174,T
T33,T08,0.311595903,468454.7122,T
T33,T09,0.200387051,520195.4807,T
T33,T10,0.206153726,694821.7839,T
T33,T11,0.200367503,640099.8543,T
T33,T12,0.127746501,845100.8041,T
T33,T13,0.130639612,960145.5412,T
T33,T15,0.071897725,1038995.232,T
T33,T18,0.084095707,1636038.531,T
T33,T19,0.097877082,1794697.665,T
T33,T20,0.248260224,1955865.158,T
T33,T21,0.109899132,1977517.795,T
