"","x"
"103",0.0366980570763217
"104",0.0367681017329018
"105",0.0368383955500468
"106",0.0369089637029144
"107",0.0369797957992942
"108",0.0365247560061338
"109",0.036595154449721
"110",0.0366658177370458
"111",0.0367367473474121
"112",0.0368079447754093
"113",0.0368794115269536
"114",0.0369511491217081
"115",0.0370231590876714
"116",0.0370952456186481
"117",0.0371678045924141
"118",0.0372351565178603
"119",0.0373082608634325
"120",0.0373813609616481
"121",0.0374550266748046
"122",0.0375289757478948
"123",0.0376032098046696
"124",0.0376777304812431
"125",0.037752538660705
"126",0.0378276375338999
"127",0.0370659975415239
"128",0.0371400891313931
"129",0.0372144219218002
"130",0.0372890851006436
"131",0.0373577910831738
"132",0.0374262924630886
"133",0.037501820385566
"134",0.0361889792667722
"135",0.03625763172811
"136",0.0363313604135214
"137",0.0364053801165947
"138",0.0364796949190229
"139",0.0364565743917153
"140",0.036531287882294
"141",0.0366063039469491
"142",0.0366816202218717
"143",0.0367572384958994
"144",0.0368331605718659
"145",0.0369093882679291
"146",0.0360274504008053
"147",0.0360774008335304
"148",0.0361526081201179
"149",0.0357679449223831
"150",0.0354275926621185
"151",0.0355019783898551
"152",0.035540860123557
"153",0.0356157841193243
"154",0.0346512196728799
"155",0.0347246696570526
"156",0.0326483103264386
"157",0.0327180454581651
"158",0.0327880696718622
"159",0.0328583800851756
"160",0.032423702006209
"161",0.0324935788222023
"162",0.0297499959434069
"163",0.0298110791110032
"164",0.0288618337952303
"165",0.0287606620452878
"166",0.0288237860234295
"167",0.0288871775695527
"168",0.0289508383799623
"169",0.0290146352586321
"170",0.0290788394156255
"171",0.0291433179619933
"172",0.0292080726494465
"173",0.0292696481718553
"174",0.0293349532111679
"175",0.0291505998151473
"176",0.0292159463965773
"177",0.0292815125002546
"178",0.0293474264500127
"179",0.0294136269021384
"180",0.0292956791696973
"181",0.0293620681022238
"182",0.0294287474740608
"183",0.0294957191664849
"184",0.0295629616060892
"185",0.0296305174672402
"186",0.0296983518925079
"187",0.0297665119625642
"188",0.0298349737354714
"189",0.0299037398043718
"190",0.0299727418056007
"191",0.0300421217511903
"192",0.030111811756047
"193",0.0301818138778097
"194",0.0302521301922517
"195",0.0303227627934806
"196",0.0303937137941399
"197",0.0304649853256144
"198",0.030536579538237
"199",0.0306084986014995
"200",0.0306807447042655
"201",0.0307533200549862
"202",0.0308262268819191
"203",0.0308994674333499
"204",0.0309730439778172
"205",0.0282577460254298
"206",0.0283141944032257
"207",0.0283825112352146
"208",0.0284511450060697
"209",0.0285009509517333
"210",0.0285701825123213
"211",0.0286397377291496
"212",0.028709618762873
"213",0.0287779543273819
"214",0.0288474218615944
"215",0.0289182871805352
"216",0.0288334692848914
"217",0.0287834234499686
"218",0.0266621871874287
"219",0.0246194481549539
"220",0.0246814428913572
"221",0.0247437355657347
"222",0.0247884372674293
"223",0.0248512131354829
"224",0.0231505772494401
"225",0.0232038986777505
"226",0.020860966709504
"227",0.0194456393041362
"228",0.019496747222816
"229",0.01596203575048
"230",0.0133299037677324
"231",0.0104754980787948
"232",0.0104566271411384
"233",0.0104867815966155
"234",0.0105172207524766
"235",0.0105457651728597
"236",0.0104913184732435
"237",0.00913965125006715
"238",0.00916381490939394
"239",0.00918880879679383
"240",0.00921665065406198
"241",0.00868819333314392
"242",0.00871122595472983
"243",0.00873742129017609
"244",0.00876249488940626
"245",0.00673920107082434
"246",0.00675379487456624
"247",0.00677597989862805
"248",0.00679787273143202
"249",0.00681932238417802
"250",0.00682874763904254
"251",0.00684431951773625
"252",0.0068654976534254
"253",0.00688377071257523
"254",0.00669993960222508
"255",0.00672251534166698
"256",0.00673630692710404
"257",0.00675786309209766
"258",0.00669391776393758
"259",0.00664143888341462
"260",0.00666360959384361
"261",0.00668650067399378
"262",0.00670702548893939
"263",0.00672888050617519
"264",0.00674414618994133
"265",0.00676572904532134
"266",0.00678925718669464
"267",0.00681089608551003
"268",0.00681147565449924
"269",0.00683340066251261
"270",0.00630615907861841
"271",0.0063287596007652
"272",0.00630535166703533
"273",0.0062988469987376
"274",0.00632096326934521
"275",0.00634022910703506
"276",0.00527805274399894
"277",0.00529358766940687
"278",0.0052662719895291
"279",0.00528512866067727
"280",0.00530410278717286
"281",0.00528002635562372
"282",0.00528098417770678
"283",0.00530028573718357
"284",0.00532081052914185
"285",0.00534146538504823
"286",0.00474604609424314
"287",0.0047650260865676
"288",0.00417399626371824
"289",0.00419122943563626
"290",0.00420648766485079
"291",0.00420134305712021
"292",0.00421464111734871
"293",0.00423044236636749
"294",0.00424069368231926
"295",0.00425668142121384
"296",0.00419605928957326
"297",0.00421194755737351
"298",0.00422982906532455
"299",0.00424299697751419
"300",0.00425361119683401
"301",0.00426990200648714
"302",0.00428630269538572
"303",0.00430244658948567
"304",0.00413956565855757
"305",0.00273023460284227
"306",0.00268096066659405
"307",0.00269365111007941
"308",0.00270231162582818
"309",0.00270747753594568
"310",0.00271201954710838
"311",0.00270086844210553
"312",0.00271385290038084
"313",0.00272328165613784
"314",0.00271620371714102
"315",0.00272938298068194
"316",0.00273893360545518
"317",0.00274679344816283
"318",0.00276023447111117
"319",0.0027693494689186
"320",0.00276641608956995
"321",0.00273439620490616
"322",0.00274322466838441
"323",0.00274832423082627
"324",0.00274100081056319
"325",0.00274602838382754
"326",0.00267496478528622
"327",0.00268434593419288
"328",0.00269799062178688
"329",0.00270752495511196
"330",0.00271712507545536
"331",0.00183672411878317
"332",0.00181503130436051
"333",0.0018032692377409
"334",0.00180146969663126
"335",0.00175620409659194
"336",0.00175041278583755
"337",0.00170696581703772
"338",0.00171648359065233
"339",0.00172608211969581
"340",0.00173576232972421
"341",0.00173173510556972
"342",0.0017081354645679
"343",0.00171015827494612
"344",0.00171333733198576
"345",0.00172312455471364
"346",0.0017251764715514
"347",0.00151691274573505
"348",0.00147334602967181
"349",0.00146474586810034
"350",0.00142059188073847
"351",0.00141120620257521
"352",0.00141196175729653
"353",0.0013892770338646
"354",0.00139763854317806
"355",0.00140607630981742
"356",0.00141459126999947
"357",0.00141521264044327
"358",0.00142384051656079
"359",0.00142446815224513
"360",0.00143321120284853
"361",0.00143384518708833
"362",0.00144270573131124
"363",0.0014516492568859
"364",0.00145090966062912
"365",0.00145996669076507
"366",0.00146910940799552
"367",0.00147833890381781
"368",0.00148765628726915
"369",0.00148844593401099
"370",0.00148920469515058
"371",0.000972363148492488
"372",0.000758447587173358
"373",0.000748679113465389
"374",0.000742657402851143
"375",0.000747685320860549
"376",0.000741516518936315
"377",0.000735218055652834
"378",0.00071533130990506
"379",0.000694995547307798
"380",0.00068802393775643
"381",0.000692804556094602
"382",0.00068565880444309
"383",0.000690460036520156
"384",0.00069531193643993
"385",0.000687955503901943
"386",0.00069282782897422
"387",0.00069775215985105
"388",0.000629172937606181
"389",0.000633697331421399
"390",0.000566030466119327
"391",0.000570148574354367
"392",0.000574311814867699
"393",0.000578520850039376
"394",0.000566859315289355
"395",0.000519719078051398
"396",0.000523586181853147
"397",0.000527496624475707
"398",0.000531451056269076
"399",0.00052109651945531
"400",0.000510524067098458
"401",0.000514401538303889
"402",0.000518323365924199
"403",0.000522290229393276
"404",0.000511300829483503
"405",0.000515247637304237
